"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.440971440E1,1.231133303E1,7.664458861E1,7.621221117E2,6.740451660E2,1.018000031E1,1.239999962E1,2.978337039E-1,3.790092468E0,2.677448273E0,3.200000000E1
6.541332810E1,1.231142636E1,7.664460098E1,7.610713097E2,6.729947510E2,1.057999992E1,9.199999809E0,3.084275663E-1,3.790092468E0,2.675625086E0,3.100000000E1
6.640793185E1,1.231152039E1,7.664461668E1,7.613403294E2,6.732641602E2,1.028999996E1,1.000000000E1,3.193213976E-1,3.790092468E0,2.753584623E0,3.100000000E1
6.740951716E1,1.231161745E1,7.664463032E1,7.606049417E2,6.725291748E2,1.048999977E1,1.899999976E0,3.314917568E-1,3.790092468E0,2.712369442E0,3.100000000E1
6.841102070E1,1.231172516E1,7.664465022E1,7.604282264E2,6.723529053E2,1.135000038E1,5.300000191E0,3.430469188E-1,3.790092468E0,2.739176273E0,3.000000000E1
6.941242226E1,1.231182706E1,7.664467108E1,7.601006566E2,6.720257568E2,1.182999992E1,1.060000038E1,3.550260750E-1,3.790092468E0,2.993860006E0,2.900000000E1
7.041553091E1,1.231193359E1,7.664468750E1,7.591784623E2,6.711040039E2,1.160000038E1,9.500000000E0,3.659921177E-1,3.790092468E0,3.208373547E0,2.900000000E1
7.140877159E1,1.231203089E1,7.664470396E1,7.589248855E2,6.708508301E2,1.096000004E1,9.000000000E0,3.760094310E-1,9.935046196E0,3.374328136E0,2.900000000E1
7.240034378E1,1.231211947E1,7.664472076E1,7.590421947E2,6.709685059E2,9.619999886E0,1.080000019E1,3.868730215E-1,9.935046196E0,3.551030636E0,2.900000000E1
7.342280289E1,1.231221638E1,7.664473344E1,7.591691122E2,6.710958252E2,1.102999973E1,7.199999809E0,3.971466723E-1,9.942851067E0,3.633442163E0,2.900000000E1
7.440528086E1,1.231230767E1,7.664474801E1,7.588285240E2,6.707556152E2,1.039000034E1,7.800000191E0,4.062859856E-1,1.073223114E1,3.653667927E0,2.500000000E1
7.540884471E1,1.231238781E1,7.664476669E1,7.592039254E2,6.711313477E2,9.319999695E0,1.139999962E1,4.160729569E-1,1.006402493E1,3.684993029E0,2.400000000E1
7.641430008E1,1.231247535E1,7.664477605E1,7.583500463E2,6.702778320E2,9.079999924E0,1.050000000E1,4.247506580E-1,1.003397179E1,3.682185411E0,2.400000000E1
7.740649153E1,1.231255134E1,7.664479424E1,7.582811290E2,6.702092285E2,8.250000000E0,8.899999619E0,4.325883046E-1,9.935046196E0,3.710673094E0,2.400000000E1
7.841295737E1,1.231262137E1,7.664480243E1,7.570952915E2,6.690236816E2,8.229999542E0,9.699999809E0,4.390165599E-1,9.991774559E0,3.838451624E0,2.300000000E1
7.941553419E1,1.231267813E1,7.664481366E1,7.566479131E2,6.685765381E2,7.530000210E0,9.699999809E0,4.447877825E-1,1.011527634E1,4.069600105E0,2.200000000E1
8.040299612E1,1.231272895E1,7.664482445E1,7.566959208E2,6.686247559E2,6.099999905E0,8.899999619E0,4.506967226E-1,1.013367081E1,4.053624630E0,2.300000000E1
8.141111658E1,1.231278097E1,7.664483556E1,7.570057643E2,6.689348145E2,5.440000057E0,6.699999809E0,4.545417442E-1,1.021740437E1,4.173702240E0,2.300000000E1
8.240922184E1,1.231281487E1,7.664484254E1,7.562015470E2,6.681307373E2,4.400000095E0,7.500000000E0,4.578642284E-1,1.025161171E1,4.252859116E0,2.300000000E1
8.341584320E1,1.231284420E1,7.664484838E1,7.560492040E2,6.679785156E2,3.789999962E0,7.300000191E0,4.610802942E-1,1.023739052E1,4.468795776E0,2.300000000E1
8.441155205E1,1.231287312E1,7.664484879E1,7.557102163E2,6.676396484E2,3.079999924E0,5.500000000E0,4.634378978E-1,1.031986523E1,4.401118755E0,2.500000000E1
8.541914851E1,1.231289429E1,7.664484999E1,7.552599329E2,6.671894531E2,2.289999962E0,1.180000019E1,4.664231927E-1,1.030267143E1,4.476049900E0,2.300000000E1
8.641245226E1,1.231292110E1,7.664484854E1,7.556194401E2,6.675490723E2,2.529999971E0,1.019999981E1,4.683526844E-1,1.031958675E1,4.413016796E0,2.300000000E1
8.741480695E1,1.231293824E1,7.664485131E1,7.559407802E2,6.678704834E2,1.980000019E0,1.200000000E1,4.697827328E-1,1.035022831E1,4.481070042E0,2.400000000E1
8.841004122E1,1.231295076E1,7.664485432E1,7.570814756E2,6.690112305E2,1.230000019E0,1.319999981E1,4.705756917E-1,1.046907806E1,4.421280861E0,2.500000000E1
8.940912398E1,1.231295772E1,7.664485591E1,7.570865738E2,6.690163574E2,7.500000000E-1,1.360000038E1,4.713960753E-1,1.040249062E1,4.213831425E0,2.500000000E1
