"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.251591304E1,1.231733923E1,7.664554043E1,7.539568436E2,6.659047852E2,3.779999971E0,3.366000061E2,3.583384313E-1,1.318199158E1,5.987227440E0,2.200000000E1
8.351304007E1,1.231738265E1,7.664554900E1,7.544498280E2,6.663979492E2,3.980000019E0,3.362999878E2,3.622257276E-1,1.336212444E1,6.154920578E0,1.900000000E1
8.451737617E1,1.231741687E1,7.664555632E1,7.544213661E2,6.663696289E2,3.750000000E0,3.357000122E2,3.671724353E-1,1.303063679E1,6.121007919E0,1.800000000E1
8.551336502E1,1.231745960E1,7.664556899E1,7.551885240E2,6.671369629E2,4.150000095E0,3.350000000E2,3.740156283E-1,1.339805031E1,6.100248814E0,1.600000000E1
8.650939585E1,1.231751902E1,7.664558539E1,7.561770483E2,6.681257324E2,4.920000076E0,3.342999878E2,3.874731833E-1,1.363225937E1,6.034545898E0,1.700000000E1
8.751243101E1,1.231761600E1,7.664565950E1,7.558779494E2,6.678270264E2,5.190000057E0,1.060000038E1,3.977342857E-1,1.367471981E1,5.988745689E0,2.100000000E1
8.850998799E1,1.231768624E1,7.664572076E1,7.566664845E2,6.686158447E2,5.650000095E0,1.750000000E1,4.049159724E-1,1.284850883E1,5.703046322E0,2.300000000E1
8.951291971E1,1.231774818E1,7.664573949E1,7.573987731E2,6.693483887E2,5.769999981E0,1.700000000E1,4.113643610E-1,1.241131306E1,5.567241669E0,2.400000000E1
9.050370846E1,1.231780137E1,7.664571584E1,7.574070925E2,6.693569336E2,5.639999866E0,9.899999619E0,4.189661178E-1,1.271937943E1,5.728135109E0,2.400000000E1
9.152123049E1,1.231786506E1,7.664569041E1,7.579601678E2,6.699102783E2,5.670000076E0,4.300000191E0,4.279206961E-1,1.234560108E1,5.461273670E0,2.600000000E1
9.249925934E1,1.231792771E1,7.664574220E1,7.589037622E2,6.708541260E2,5.760000229E0,1.200000000E1,4.380806946E-1,1.233957767E1,5.172734261E0,2.700000000E1
9.350883236E1,1.231799623E1,7.664580407E1,7.589785594E2,6.709291992E2,6.130000114E0,2.020000076E1,4.426415867E-1,1.199876404E1,5.114135265E0,2.200000000E1
9.451004314E1,1.231802724E1,7.664583155E1,7.599730633E2,6.719238281E2,5.789999962E0,2.000000000E1,4.479271126E-1,1.218254089E1,5.354048252E0,2.200000000E1
9.551099121E1,1.231807473E1,7.664582946E1,7.604569958E2,6.724079590E2,5.570000172E0,1.450000000E1,4.531055003E-1,1.149872208E1,5.283256054E0,2.100000000E1
9.651676793E1,1.231811914E1,7.664584381E1,7.612256117E2,6.731767578E2,5.590000153E0,1.489999962E1,4.594958551E-1,1.147823620E1,5.232823849E0,2.100000000E1
9.750910934E1,1.231817657E1,7.664584162E1,7.612217098E2,6.731730957E2,5.449999809E0,9.699999809E0,4.641637684E-1,1.116775227E1,5.009855747E0,2.000000000E1
9.850275236E1,1.231821745E1,7.664583185E1,7.624501755E2,6.744017334E2,5.349999905E0,4.300000191E0,4.691191787E-1,1.117512608E1,5.304257393E0,2.300000000E1
9.950939095E1,1.231826199E1,7.664583338E1,7.631977928E2,6.751495361E2,5.340000153E0,4.199999809E0,4.752191698E-1,1.094829178E1,5.053234577E0,2.600000000E1
1.005092899E2,1.231831583E1,7.664584415E1,7.635978385E2,6.755498047E2,5.469999790E0,4.800000191E0,4.795135663E-1,1.097630310E1,4.905150890E0,2.800000000E1
1.015147493E2,1.231834901E1,7.664582392E1,7.633026531E2,6.752547607E2,5.190000057E0,6.999999881E-1,4.868061311E-1,1.100255871E1,4.733195782E0,3.000000000E1
